,Release Date,link,title
0,"May 28, 2020",https://www.atlutd.com/post/2020/05/28/mls-clubs-begin-voluntary-small-group-training-sessions,MLS Clubs to Begin Voluntary Small Group Training Sessions
1,"May 27, 2020",https://www.atlutd.com/post/2020/05/27/faith-and-family-baboucarr-njies-driving-forces,Faith and Family: Baboucarr Njie's driving forces
2,"May 25, 2020",https://www.atlutd.com/post/2020/05/25/behind-stripes-bost-family,Behind the Stripes: The Bost Family
3,"May 25, 2020 (3 min)",https://www.atlutd.com/post/2020/05/25/storytime-george-campbell?autoplay=true,Storytime with George Campbell
4,"May 24, 2020",https://www.atlutd.com/post/2020/05/24/were-back,We're Back.
5,"May 17, 2020",https://www.atlutd.com/post/2020/05/17/quarantine-mo-jadama-and-bradley-kamdem-fewo,Quarantine with Mo Jadama and Bradley Kamdem Fewo
