,Date_Added,Release_Date,link,team,title
0,"June 07, 2020","June 4, 2020",https://www.fccincinnati.com/post/2020/06/04/star64-re-air-2017-home-finale-win-against-red-bulls-ii,fccincinnati,Star64 to re-air 2017 home finale win against Red Bulls II
1,"June 07, 2020","June 4, 2020",https://www.fccincinnati.com/post/2020/06/04/takeaways-garber-s-press-conference,fccincinnati,Takeaways from Garber’s press conference
2,"June 07, 2020","June 4, 2020",https://www.fccincinnati.com/post/2020/06/04/down-hatch-june-4,fccincinnati,Down The Hatch: June 4
3,"June 07, 2020","June 3, 2020",https://www.fccincinnati.com/post/2020/06/03/hagglund-richey-discuss-mls-return-cba-ratification,fccincinnati,"Hagglund, Richey discuss MLS return, CBA ratification"
4,"June 07, 2020","June 3, 2020",https://www.fccincinnati.com/post/2020/06/03/fiddle-called-us-enational-team-international-tourney,fccincinnati,Fiddle called up to U.S. eNational Team for international tourney
