,Release Date,link,title
0,"May 26, 2020",https://www.intermiamicf.com/en/post/2020/05/26/inter-miami-cf-participating-educup-challenge,Inter Miami CF Participating in EduCup Challenge
1,"May 23, 2020",https://www.intermiamicf.com/en/post/2020/05/23/match-recap-rodolfo-pizarro-defeats-wolves-ra-l-jim-nez-inter-miami-s-first,MATCH RECAP: Rodolfo Pizarro Defeats Wolves’ Raúl Jiménez in Inter Miami’s First International eFriendly
2,"May 22, 2020",https://www.intermiamicf.com/en/post/2020/05/22/lee-nguyen-it-s-very-much-family-here,Lee Nguyen: “It’s very much like a family here”
3,"May 27, 2020 (2 min)",https://www.intermiamicf.com/en/post/2020/05/27/player-profile-robbie-robinson?autoplay=true,Player Profile: Robbie Robinson
4,"May 23, 2020 (1 min)",https://www.intermiamicf.com/en/post/2020/05/23/pizarro-defeats-jimenez-wolves?autoplay=true,Pizarro defeats Jimenez from Wolves!
5,"May 23, 2020 (1 min)",https://www.intermiamicf.com/en/post/2020/05/23/golazo-pizarrowith-himself?autoplay=true,Golazo from Pizarro...with himself!
