,Date_Added,Release_Date,link,team,title
0,"June 07, 2020","June 5, 2020",https://www.philadelphiaunion.com/post/2020/06/05/watch-ysc-academy-senior-speeches,philadelphiaunion,Watch: YSC Academy senior speeches
1,"June 07, 2020","June 5, 2020",https://www.philadelphiaunion.com/post/2020/06/05/sim-union-clash-rival-red-bulls-saturday-night,philadelphiaunion,Sim: Union clash with rival Red Bulls Saturday night
2,"June 07, 2020","June 5, 2020",https://www.philadelphiaunion.com/post/2020/06/05/cisse-set-rivalry-matchup-saturday-afternoon,philadelphiaunion,Cisse set for rivalry matchup Saturday afternoon
3,"June 07, 2020","June 5, 2020",https://www.philadelphiaunion.com/post/2020/06/05/premier-orthopaedics-training-gallery-small-group-training,philadelphiaunion,Premier Orthopaedics Training Gallery: Small Group Training
4,"June 07, 2020","June 5, 2020",https://www.philadelphiaunion.com/post/2020/06/05/otd-2013-union-net-three-goals-six-minutes-defeat-crew,philadelphiaunion,OTD 2013: Union net three goals in six minutes to defeat the Crew
