,Date_Added,Release_Date,link,team,title
0,"June 07, 2020","June 5, 2020 (1 min)",https://www.houstondynamo.com/post/2020/06/05/start-good-team-chemistry-james-clarkson?autoplay=true,houstondynamo,"""The start of a good team chemistry"" | James Clarkson"
1,"June 07, 2020","June 4, 2020 (1 min)",https://www.houstondynamo.com/post/2020/06/04/be-comfortable-being-uncomfortable-zarek-valentin?autoplay=true,houstondynamo,"""Be comfortable being uncomfortable"" | Zarek Valentin"
2,"June 07, 2020","June 3, 2020",https://www.houstondynamo.com/houstondash/post/2020/06/03/supporter-stories-following-your-passion,houstondynamo,Supporter Stories: Following your Passion
3,"June 07, 2020","June 1, 2020",https://www.houstondynamo.com/houstondash/post/2020/06/01/houston-dash-nwsl-announce-schedule-2020-challenge-cup-pres-pg-and-secret,houstondynamo,"Houston Dash, NWSL announce schedule for 2020 Challenge Cup pres. by P&G and Secret"
4,"June 07, 2020","June 1, 2020",https://www.houstondynamo.com/houstondash/luv-ya-dash-houston-dash-2020-secondary-kit,houstondynamo,Luv ya Dash! | Houston Dash 2020 secondary kit
