,Release Date,link,title
0,"May 27, 2020",https://www.nycfc.com/post/2020/05/27/vote-etihad-fan-month,Vote | Etihad Fan of the Month
1,"May 26, 2020",https://www.nycfc.com/post/2020/05/26/photos-boys-blue-begin-individual-training,Photos | The Boys in Blue Begin Individual Training
2,"May 25, 2020",https://www.nycfc.com/post/2020/05/25/new-york-city-fc-begin-voluntary-individual-outdoor-workouts-accordance-mls-new-york,New York City FC to Begin Voluntary Individual Outdoor Workouts in Accordance with MLS & New York State Guidelines
3,"May 27, 2020 (6 min)",https://www.nycfc.com/post/2020/05/27/inside-training-players-return-individual-training?autoplay=true,Inside Training | Players Return to Individual Training
4,"May 26, 2020 (3 min)",https://www.nycfc.com/post/2020/05/26/etihad-cfa-return-sean-johnson-individual-training?autoplay=true,Etihad CFA Return | Sean Johnson on Individual Training
5,"May 26, 2020 (4 min)",https://www.nycfc.com/post/2020/05/26/etihad-cfa-return-anton-tinnerholm-individual-training?autoplay=true,Etihad CFA Return | Anton Tinnerholm on Individual Training
