,Release Date,link,title
0,"May 28, 2020",https://www.intermiamicf.com/en/post/2020/05/28/inter-miami-cf-will-submit-plan-begin-voluntary-small-group-training-sessions,Inter Miami CF Will Submit Plan to Begin Voluntary Small Group Training Sessions
1,"May 27, 2020",https://www.intermiamicf.com/en/post/2020/05/27/member-giveaway-winner-revealed-match-wornsigned-jersey-juli-n-carranza,Member Giveaway Winner Revealed: Match Worn/Signed Jersey from Julián Carranza
2,"May 26, 2020",https://www.intermiamicf.com/en/post/2020/05/26/inter-miami-cf-participating-educup-challenge,Inter Miami CF Participating in EduCup Challenge
3,"May 27, 2020 (2 min)",https://www.intermiamicf.com/en/post/2020/05/27/player-profile-robbie-robinson?autoplay=true,Player Profile: Robbie Robinson
4,"May 23, 2020 (1 min)",https://www.intermiamicf.com/en/post/2020/05/23/pizarro-defeats-jimenez-wolves?autoplay=true,Pizarro defeats Jimenez from Wolves!
5,"May 23, 2020 (1 min)",https://www.intermiamicf.com/en/post/2020/05/23/golazo-pizarrowith-himself?autoplay=true,Golazo from Pizarro...with himself!
