,Release Date,link,title
0,"May 18, 2020",https://www.nashvillesc.com/post/2020/05/18/nashville-sc-s-tanner-dieterich-take-inter-miami-cf-s-robbie-robinson-ea-sports-fifa,Nashville SC’s Tanner Dieterich to take on Inter Miami CF’s Robbie Robinson in EA Sports FIFA 20 clash on Wednesday
1,"May 14, 2020",https://www.nashvillesc.com/post/2020/05/14/nashville-sc-s-doolsta-take-philadelphia-union-ea-sports-fifa-20-match-pres-wgu,Nashville SC’s Doolsta to take on Philadelphia Union in EA Sports FIFA 20 match pres. by WGU Tennessee on Saturday
2,"May 14, 2020",https://www.nashvillesc.com/post/2020/05/14/major-league-soccer-extends-small-group-and-team-training-moratorium,Major League Soccer Extends Small Group and Team Training Moratorium
3,"May 14, 2020 (52 min)",https://www.nashvillesc.com/post/2020/05/14/fat-bottom-brewing-virtual-happy-hour-stu-holden?autoplay=true,Fat Bottom Brewing Virtual Happy Hour with Stu Holden
4,"May 11, 2020 (1 min)",https://www.nashvillesc.com/post/2020/05/11/training-highlights-may-9-2020?autoplay=true,"Training Highlights: May 9, 2020"
5,"May 7, 2020 (1 min)",https://www.nashvillesc.com/post/2020/05/07/training-highlights-may-7-2020?autoplay=true,"Training Highlights: May 7, 2020"
