,Date_Added,Release_Date,link,team,title
0,"June 08, 2020","June 8, 2020",https://www.orlandocitysc.com/post/2020/06/08/week-orlando-city-history-june-8th-14th,orlandocitysc,This Week in Orlando City History | June 8th-14th
1,"June 08, 2020","June 4, 2020",https://www.orlandocitysc.com/post/2020/06/04/major-league-soccer-clubs-return-full-team-training,orlandocitysc,Major League Soccer Clubs to Return to Full Team Training
2,"June 08, 2020","June 1, 2020",https://www.orlandocitysc.com/post/2020/06/01/our-community-cao-caesar-lopez,orlandocitysc,"To Our Community From CAO, Caesar Lopez"
3,"June 08, 2020","June 1, 2020",https://www.orlandocitysc.com/post/2020/06/01/orlando-pride-schedule-unveiled-preliminary-round-2020-nwsl-challenge-cup,orlandocitysc,Orlando Pride Schedule Unveiled for NWSL Challenge Cup
4,"June 08, 2020","June 1, 2020",https://www.orlandocitysc.com/post/2020/06/01/week-orlando-city-history-june-1st-7th,orlandocitysc,This Week in Orlando City History | June 1st-7th
