,Date_Added,Release_Date,link,team,title
0,"June 08, 2020","June 8, 2020",https://www.philadelphiaunion.com/post/2020/06/08/otd-2019-ilsinho-game,philadelphiaunion,OTD 2019: The Ilsinho Game
1,"June 08, 2020","June 5, 2020",https://www.philadelphiaunion.com/post/2020/06/05/watch-ysc-academy-senior-speeches,philadelphiaunion,Watch: YSC Academy senior speeches
2,"June 08, 2020","June 5, 2020",https://www.philadelphiaunion.com/post/2020/06/05/sim-union-clash-rival-red-bulls-saturday-night,philadelphiaunion,Sim: Union clash with rival Red Bulls Saturday night
3,"June 08, 2020","June 5, 2020",https://www.philadelphiaunion.com/post/2020/06/05/cisse-set-rivalry-matchup-saturday-afternoon,philadelphiaunion,Cisse set for rivalry matchup Saturday afternoon
4,"June 08, 2020","June 5, 2020",https://www.philadelphiaunion.com/post/2020/06/05/premier-orthopaedics-training-gallery-small-group-training,philadelphiaunion,Premier Orthopaedics Training Gallery: Small Group Training
