,Date_Added,Release_Date,link,team,title
0,"June 08, 2020","June 5, 2020",https://www.sjearthquakes.com/post/2020/06/05/my-words-jacob-akanyirige-speaks-out-racial-injustice,sjearthquakes,IN MY WORDS: Jacob Akanyirige speaks out on racial injustice
1,"June 08, 2020","June 5, 2020",https://www.sjearthquakes.com/post/2020/06/05/community-world-cup-referee-helps-patients-battle-covid-19,sjearthquakes,COMMUNITY: World Cup referee helps patients battle COVID-19
2,"June 08, 2020","June 3, 2020",https://www.sjearthquakes.com/post/2020/06/03/watch-wondo-cracks-talking-about-playing-ike-opara,sjearthquakes,WATCH: Wondo cracks up talking about playing Ike Opara
3,"June 08, 2020","June 3, 2020",https://www.sjearthquakes.com/post/2020/06/03/mls-players-reach-new-agreement-sets-stage-resuming-2020-season,sjearthquakes,"MLS, Players reach new agreement, sets stage for resuming 2020 season"
4,"June 08, 2020","June 3, 2020",https://www.sjearthquakes.com/post/2020/06/03/watch-marvell-and-sam-talk-stadium-host-taylor-amarante-podcast,sjearthquakes,WATCH: Marvell and Sam talk to Stadium Host Taylor Amarante | Podcast
