,Release Date,link,title
0,"May 28, 2020",https://www.rsl.com/post/2020/05/28/mls-clubs-begin-voluntary-small-group-training-sessions,MLS Clubs to Begin Voluntary Small Group Training Sessions
1,"May 26, 2020",https://www.rsl.com/post/2020/05/26/nwsl-allow-small-group-training-beginning-may-25,NWSL to Allow Small Group Training
2,"May 19, 2020",https://www.rsl.com/post/2020/05/19/mls-provides-update-all-star-leagues-and-campeones-cup,"MLS Provides Update on All-Star, Leagues and Campeones Cup"
3,"May 26, 2020 (13 min)",https://www.rsl.com/post/2020/05/26/rsl-family-check-justin-portillo?autoplay=true,The RSL Family Check In: Justin Portillo
4,"May 26, 2020 (1 min)",https://www.rsl.com/post/2020/05/26/soccer-back?autoplay=true,Soccer Is Back
5,"May 26, 2020 (1 min)",https://www.rsl.com/post/2020/05/26/leo-wants-know-week-10-question?autoplay=true,Leo Wants To Know: Week 10 Question
