,Date_Added,Release_Date,link,team,title
0,"June 07, 2020","May 19, 2020",https://www.nashvillesc.com/post/2020/05/19/gaffer-talk-head-coach-gary-smith-return-individual-workouts-life-home,nashvillesc,"Gaffer Talk: Head Coach Gary Smith on a return to individual workouts, life at home"
1,"June 07, 2020","May 18, 2020",https://www.nashvillesc.com/post/2020/05/18/nashville-sc-s-tanner-dieterich-take-inter-miami-cf-s-robbie-robinson-ea-sports-fifa,nashvillesc,Nashville SC’s Tanner Dieterich to take on Inter Miami CF’s Robbie Robinson in EA Sports FIFA 20 clash on Wednesday
2,"June 07, 2020","May 14, 2020",https://www.nashvillesc.com/post/2020/05/14/nashville-sc-s-doolsta-take-philadelphia-union-ea-sports-fifa-20-match-pres-wgu,nashvillesc,Nashville SC’s Doolsta to take on Philadelphia Union in EA Sports FIFA 20 match pres. by WGU Tennessee on Saturday
3,"June 07, 2020","June 1, 2020 (14 min)",https://www.nashvillesc.com/post/2020/06/01/nashville-sc-academy-roundtable?autoplay=true,nashvillesc,Nashville SC Academy Roundtable
4,"June 07, 2020","May 21, 2020 (47 min)",https://www.nashvillesc.com/post/2020/05/21/fat-bottom-brewing-virtual-happy-hour-grace-leer?autoplay=true,nashvillesc,Fat Bottom Brewing Virtual Happy Hour: Grace Leer
