,Release Date,link,title
0,"May 25, 2020",https://www.atlutd.com/post/2020/05/25/behind-stripes-bost-family,Behind the Stripes: The Bost Family
1,"May 25, 2020 (3 min)",https://www.atlutd.com/post/2020/05/25/storytime-george-campbell?autoplay=true,Storytime with George Campbell
2,"May 24, 2020",https://www.atlutd.com/post/2020/05/24/were-back,We're Back.
3,"May 17, 2020",https://www.atlutd.com/post/2020/05/17/quarantine-mo-jadama-and-bradley-kamdem-fewo,Quarantine with Mo Jadama and Bradley Kamdem Fewo
4,"May 17, 2020",https://www.atlutd.com/post/2020/05/17/atlanta-united-s-franco-escobar-and-paulo-neto-win-emls-tournament-special-presented,Atlanta United’s Franco Escobar and Paulo Neto win eMLS Tournament Special presented by Coca-Cola® and PlayStation®
5,"May 16, 2020",https://www.atlutd.com/post/2020/05/16/17-atlanta-united-favorites-pass-quarantine-time,17 Atlanta United Favorites To Pass Quarantine Time
