,Date_Added,Release_Date,link,team,title
0,"June 08, 2020","June 5, 2020",https://www.rsl.com/post/2020/06/05/urfc-unveils-royal-title-clubs-jersey-back-sponsor,rsl,URFC Unveils Royal Title as Jersey-Back Sponsor
1,"June 08, 2020","June 4, 2020",https://www.rsl.com/post/2020/06/04/usl-championship-returnto-play-2020,rsl,USL Championship to Return to Play
2,"June 08, 2020","June 4, 2020",https://www.rsl.com/post/2020/06/04/mls-lifts-training-moratorium,rsl,MLS Clubs to Return to Full Team Training
3,"June 08, 2020","June 8, 2020 (2 min)",https://www.rsl.com/post/2020/06/08/rsl-small-group-training?autoplay=true,rsl,RSL Small Group Training
4,"June 08, 2020","June 4, 2020 (15 min)",https://www.rsl.com/post/2020/06/04/stay-home-academy-training-series-presented-america-first-credit-union-june-5-2020?autoplay=true,rsl,"Stay at Home Academy Training Series Presented by America First Credit Union: June 5, 2020 Warm Up & Welcome"
