,Date_Added,Release_Date,link,team,title
0,"June 08, 2020","June 5, 2020",https://www.intermiamicf.com/en/post/2020/06/05/academy-coach-pedro-cavalcanti-amount-talent-south-florida-unique,intermiamicf,Academy Coach Pedro Cavalcanti: “The amount of talent in South Florida is unique”
1,"June 08, 2020","June 5, 2020",https://www.intermiamicf.com/en/post/2020/06/05/member-giveaway-winner-revealed-signed-jersey-rodolfo-pizarro,intermiamicf,Member Giveaway Winner Revealed: Signed Jersey from Rodolfo Pizarro
2,"June 08, 2020","June 4, 2020",https://www.intermiamicf.com/en/post/2020/06/04/inter-miami-players-react-start-small-group-training,intermiamicf,Inter Miami Players React to Start of Small Group Training
3,"June 08, 2020","June 8, 2020 (2 min)",https://www.intermiamicf.com/en/post/2020/06/08/player-profile-mat-pellegrini?autoplay=true,intermiamicf,Player Profile: Matías Pellegrini
4,"June 08, 2020","May 27, 2020 (2 min)",https://www.intermiamicf.com/en/post/2020/05/27/player-profile-robbie-robinson?autoplay=true,intermiamicf,Player Profile: Robbie Robinson
