,Release Date,link,title
0,"May 28, 2020",https://www.orlandocitysc.com/post/2020/05/28/mls-clubs-begin-voluntary-small-group-training-sessions,MLS Clubs to Begin Voluntary Small Group Training Sessions
1,"May 27, 2020",https://www.orlandocitysc.com/post/2020/05/27/nwsl-announces-2020-challenge-cup-pres-pg-and-secret,NWSL Announces 2020 Challenge Cup pres. by P&G and Secret
2,"May 26, 2020",https://www.orlandocitysc.com/post/2020/05/26/week-orlando-city-history-may-25th-31st,This Week in Orlando City History | May 25th-31st
3,"May 26, 2020",https://www.orlandocitysc.com/post/2020/05/26/nwsl-begin-allowing-small-group-training,NWSL to Begin Allowing Small Group Training
4,"May 19, 2020",https://www.orlandocitysc.com/post/2020/05/19/j-nior-urso-s-journey-world-traveler-world-s-game,Júnior Urso’s Journey | A World Traveler of the World’s Game
5,"May 18, 2020",https://www.orlandocitysc.com/post/2020/05/18/week-orlando-city-history-may-18th-24th,This Week in Orlando City History | May 18th-24th
