,Release Date,link,title
0,"May 27, 2020",https://www.fccincinnati.com/post/2020/05/27/hagglund-excited-learn-stam-embrace-club-s-identity,"Hagglund excited to learn from Stam, embrace club’s identity"
1,"May 27, 2020",https://www.fccincinnati.com/post/2020/05/27/nick-hagglund-face-fcc-fiddle,Nick Hagglund to face FCC Fiddle
2,"May 26, 2020",https://www.fccincinnati.com/post/2020/05/26/weekly-lineup-may-26,Weekly Lineup | May 26
3,"May 26, 2020",https://www.fccincinnati.com/post/2020/05/26/downtown-team-shop-re-open-wednesday,Downtown team shop to re-open on Wednesday
4,"May 26, 2020",https://www.fccincinnati.com/post/2020/05/26/listen-episode-7-orange-and-blue-review,Listen: Episode 7 of the Orange and Blue Review!
5,"May 25, 2020",https://www.fccincinnati.com/post/2020/05/25/rewatch-players-remember-first-postseason-win,Rewatch: Players remember first postseason win
