,Release Date,link,title
0,"May 23, 2020",https://www.dcunited.com/post/2020/05/23/unitethedistrict-limited-edition-t-shirt-supporting-first-responders,#UniteTheDistrict Limited Edition T-Shirt Supporting First Responders
1,"May 7, 2020",https://www.dcunited.com/post/2020/05/07/dc-united-and-sint-truidense-vv-complete-permanent-transfer-chris-durkin,D.C. United and Sint-Truidense V.V. Complete Permanent Transfer for Chris Durkin
2,"April 30, 2020",https://www.dcunited.com/post/2020/04/30/five-side-brillants-french-team,Five-a-Side: Brillant's French Team
3,"May 27, 2020 (58 min)",https://www.dcunited.com/post/2020/05/27/jaime-moreno-marco-etcheverry-live-happy-hour?autoplay=true,Jaime Moreno & Marco Etcheverry | Live Happy Hour
4,"May 26, 2020 (1 min)",https://www.dcunited.com/post/2020/05/26/ac-milan-friendly-vault?autoplay=true,A.C. Milan Friendly | From the Vault
5,"May 20, 2020 (26 min)",https://www.dcunited.com/post/2020/05/20/edison-flores-ama?autoplay=true,Edison Flores | AMA
