,Release Date,link,title
0,"May 25, 2020",https://www.whitecapsfc.com/youth/post/2020/05/25/vancouver-whitecaps-fc-welcome-irish-club-beechwood-fc-live-skills-clinic-presented,'Caps welcome Irish club Beechwood FC to Jumpstart Skills Clinic
1,"May 25, 2020",https://www.whitecapsfc.com/post/2020/05/25/getting-know-presented-ge-appliances-maxime-crepeau,Getting to know: Maxime Crépeau
2,"May 25, 2020",https://www.whitecapsfc.com/content/vote-quarterfinals-whos-got-best-skill-or-trick,VOTE: Quarterfinals - Who's got the best skill or trick?
3,"May 23, 2020",https://www.whitecapsfc.com/post/2020/05/23/dasos-football-doctorate-qa-england-mnt-manager-gareth-southgate,Daso's Doctorate: Q&A with Gareth Southgate
4,"May 22, 2020",https://www.whitecapsfc.com/post/2020/05/22/friday-night-fifa-thomas-hasal-vs-thatcher-demko,Friday Night FIFA: Thomas Hasal vs. Thatcher Demko
5,"May 22, 2020",https://www.whitecapsfc.com/post/2020/05/22/analysts-corner-attacking-fullback,Analysts' Corner: The Attacking Fullback
6,"May 27, 2020 (2 min)",https://www.whitecapsfc.com/post/2020/05/27/hear-everything-lucas-cavallini?autoplay=true,Hear Everything: Lucas Cavallini
7,"May 26, 2020 (27 min)",https://www.whitecapsfc.com/post/2020/05/26/caps-clubhouse-e35-how-draw-bc-place?autoplay=true,'Caps Clubhouse E35: How to draw BC Place
8,"May 26, 2020 (1 min)",https://www.whitecapsfc.com/post/2020/05/26/el-jimador-best-shots-morales-free-kick-laser-vs-seattle?autoplay=true,El Jimador Best Shots: Morales' free kick laser vs. Seattle
9,"May 26, 2020 (1 min)",https://www.whitecapsfc.com/post/2020/05/26/day-history-techera-nets-hat-trick-vs-new-england?autoplay=true,This day in history: Techera nets hat-trick vs. New England
10,"May 25, 2020 (1 min)",https://www.whitecapsfc.com/post/2020/05/25/el-jimador-best-shots-koffie-swerves-half-volley-top-corner?autoplay=true,El Jimador Best Shots: Koffie swerves a half-volley top corner
11,"May 25, 2020 (2 min)",https://www.whitecapsfc.com/post/2020/05/25/homeplay-ball-control-aerial-6?autoplay=true,Homeplay: Ball Control (Aerial) - #6
