,Release Date,link,title
0,"May 28, 2020",https://www.philadelphiaunion.com/post/2020/05/28/mls-clubs-begin-voluntary-small-group-training-sessions,MLS Clubs to Begin Voluntary Small Group Training Sessions
1,"May 28, 2020",https://www.philadelphiaunion.com/post/2020/05/28/sendashield-campaign-reaches-its-goal,#SendAShield campaign reaches its goal
2,"May 28, 2020",https://www.philadelphiaunion.com/post/2020/05/28/otd-2011-union-rout-toronto-6-2,OTD 2011: Union rout Toronto 6-2
3,"May 27, 2020",https://www.philadelphiaunion.com/post/2020/05/27/union-ii-secure-place-weeks-ecup-championship-match-win-over-la-galaxy-ii,Union II secure place in this week's eCup championship match with win over LA Galaxy II
4,"May 27, 2020",https://www.philadelphiaunion.com/post/2020/05/27/mls-and-heineken-team-present-david-guettas-united-home-concert-new-york-city-may-30,MLS and Heineken team up to present David Guetta's 'United At Home' concert in New York City on May 30
5,"May 27, 2020",https://www.philadelphiaunion.com/post/2020/05/27/union-ii-looks-promotion-against-la-galaxy-ii-wednesday-night,Union II looks for promotion against LA Galaxy II Wednesday night
