,Release Date,link,title
0,"May 28, 2020",https://www.columbuscrewsc.com/post/2020/05/28/mls-clubs-begin-voluntary-small-group-training-sessions,RELEASE | MLS clubs to begin voluntary small group training sessions
1,"May 27, 2020",https://www.columbuscrewsc.com/post/2020/05/27/haslam-family-donation-assists-kipp-columbus-addressing-critical-needs-students,"Haslam Family donation assists KIPP Columbus in addressing critical needs of students, families"
2,"May 27, 2020",https://www.columbuscrewsc.com/full-replay/2014-10-11,WATCH | Full on-demand replay of 3-2 comeback win at Philadelphia in 2014
3,"May 26, 2020 (1 min)",https://www.columbuscrewsc.com/post/2020/05/26/columbus-champion-aboubacar-keita-shares-his-thanks-registered-nurse-carolyn-graf?autoplay=true,COLUMBUS CHAMPION | Aboubacar Keita shares his thanks with Registered Nurse Carolyn Graf
4,"May 22, 2020 (2 min)",https://www.columbuscrewsc.com/post/2020/05/22/ohiohealth-team-camaraderie-paying-dividends-players-return-training-pitch?autoplay=true,OhioHealth | Team camaraderie paying dividends as players return to the training pitch
5,"May 18, 2020 (4 min)",https://www.columbuscrewsc.com/post/2020/05/18/downtown-crew-sc-behind-scenes-look-next-major-construction-phase?autoplay=true,DOWNTOWN WITH CREW SC | A behind-the-scenes look at the next major construction phase
