,Date_Added,Release_Date,link,team,title
0,"June 07, 2020","June 5, 2020",https://www.mnufc.com/post/2020/06/05/loon-classics-minnesota-united-chicago-fire-08262017,mnufc,Loon Classics: Minnesota United at Chicago Fire | 08.26.2017
1,"June 07, 2020","June 4, 2020",https://www.mnufc.com/post/2020/06/04/mls-clubs-return-full-team-training,mnufc,MLS clubs return to full team training.
2,"June 07, 2020","June 4, 2020",https://www.mnufc.com/post/2020/06/04/live-charlie-parr-allianz-field,mnufc,Charity Concert: Charlie Parr at Allianz Field
3,"June 07, 2020","June 5, 2020 (1 min)",https://www.mnufc.com/post/2020/06/05/voluntary-group-training-june-4-2020?autoplay=true,mnufc,"Voluntary Group Training: June 4, 2020"
4,"June 07, 2020","June 4, 2020 (46 min)",https://www.mnufc.com/post/2020/06/04/call-jacori-hayes-mason-toye?autoplay=true,mnufc,The Call Up: Jacori Hayes + Mason Toye
