,Date_Added,Release_Date,link,team,title
0,"June 08, 2020","June 5, 2020",https://www.dcunited.com/post/2020/06/05/photo-gallery-dc-united-training-audi-field,dcunited,Photo Gallery | D.C. United training at Audi Field
1,"June 08, 2020","June 4, 2020",https://www.dcunited.com/post/2020/06/04/photo-gallery-dc-uniteds-first-day-back,dcunited,Photo Gallery | D.C. United's First Day Back
2,"June 08, 2020","June 3, 2020",https://www.dcunited.com/post/2020/06/03/dc-united-will-begin-voluntary-small-group-training-audi-field-washington-dc,dcunited,"D.C. United will begin voluntary small group training at Audi Field in Washington, D.C. on Thursday, June 4."
3,"June 08, 2020","June 8, 2020 (1 min)",https://www.dcunited.com/post/2020/06/08/black-lives-matter?autoplay=true,dcunited,Black Lives Matter
4,"June 08, 2020","May 29, 2020 (26 min)",https://www.dcunited.com/post/2020/05/29/gressel-special-episode-5-tim-parker?autoplay=true,dcunited,Gressel Special Episode 5 | Tim Parker
