,Date_Added,Release_Date,link,team,title
0,"June 08, 2020","June 5, 2020",https://www.columbuscrewsc.com/post/2020/06/05/valenzuelas-return-form-coincides-show-support-all-parties-crew-organization,columbuscrewsc,Valenzuela's return to form coincides with show of support from all parties of the Crew organization
1,"June 08, 2020","June 4, 2020",https://www.columbuscrewsc.com/post/2020/06/04/espn-fc-derrick-etienne-jr-talks-taylor-twellman,columbuscrewsc,ESPN FC | Derrick Etienne Jr. talks with Taylor Twellman
2,"June 08, 2020","June 4, 2020",https://www.columbuscrewsc.com/post/2020/06/04/training-mls-clubs-return-full-team-training,columbuscrewsc,TRAINING | MLS clubs to return to full team training
3,"June 08, 2020","June 8, 2020 (5 min)",https://www.columbuscrewsc.com/post/2020/06/08/columbus-champion-jordan-angeli-explores-what-suzie-gerhardts-team-doing-central?autoplay=true,columbuscrewsc,COLUMBUS CHAMPION | Jordan Angeli explores what Suzie Gerhardt's team is doing for the Central Ohio youth
4,"June 08, 2020","June 5, 2020 (1 min)",https://www.columbuscrewsc.com/post/2020/06/05/training-phases-progress-valenzuela-running-full-strength?autoplay=true,columbuscrewsc,"As training phases progress, Valenzuela running at full strength"
