,Release Date,link,title
0,"May 28, 2020",https://www.fcdallas.com/post/2020/05/28/mls-clubs-begin-voluntary-small-group-training-sessions,NEWS: MLS Clubs to Begin Voluntary Small Group Training Sessions
1,"May 27, 2020",https://www.fcdallas.com/post/2020/05/27/taylor-twellman-references-overcoming-career-ending-injury-fc-dallas-virtual,Twellman Gives Impassioned Speech at FCD's Virtual Graduation
2,"May 27, 2020",https://www.fcdallas.com/post/2020/05/27/fc-dallas-celebrates-class-2020-virtual-graduation-more-250-fcd-high-school-seniors,NEWS: FCD Celebrates the Class of 2020 with a Virtual Graduation
3,"May 27, 2020",https://www.fcdallas.com/post/2020/05/27/greatest-game-dallas-burn-history-1999-western-conference-semifinal,FCD Rewind: The Greatest Game in Dallas Burn History
4,"May 23, 2020 (1 min)",https://www.fcdallas.com/post/2020/05/23/watch-fifa-highlights-fc-dallas-vs-minnesota-united?autoplay=true,HIGHLIGHTS: FIFA Simulation for FC Dallas vs. Minnesota United
5,"May 22, 2020",https://www.fcdallas.com/post/2020/05/22/why-you-should-watch-fcd-rewind-fc-dallas-vs-minnesota-united-6292018,FCD REWIND: FC Dallas vs. Minnesota United | 6/29/2018
