,Date_Added,Release_Date,link,team,title
0,"June 08, 2020","June 6, 2020 (117 min)",https://www.timbers.com/post/2020/06/06/ptfc-archives-mark-parsons-first-game-and-win-over-orlando-apr-17-2016?autoplay=true,timbers,Parsons' first game and a win over Orlando from April of 2016
1,"June 08, 2020","June 4, 2020",https://www.timbers.com/post/2020/06/04/ptfc-archives-statman-edition-parsons-thorns-tenure-starts-win,timbers,"2016 Thorns season opened with win, #Statman with the numbers"
2,"June 08, 2020","June 4, 2020",https://www.timbers.com/post/2020/06/04/statman-stumpers-whered-these-timbers-players-come,timbers,Where'd these Timbers players come from?
3,"June 08, 2020","June 4, 2020",https://www.timbers.com/post/2020/06/04/ptfc-archives-featured-thorns-match-marked-beginning-parsons-era-2016,timbers,Featured Thorns match marked beginning of Parsons era in 2016
4,"June 08, 2020","June 4, 2020 (3 min)",https://www.timbers.com/post/2020/06/04/rose-city-readers-timber-joey-breaking-news?autoplay=true,timbers,"Rose City Readers with Timber Joey | ""The Breaking News"""
