,Release Date,link,title
0,"May 27, 2020",https://www.timbers.com/post/2020/05/27/thorns-set-return-play-unique-nwsl-challenge-cup-i-m-very-excited,"Thorns set to return to play in unique NWSL Challenge Cup: ""I’m very excited"""
1,"May 27, 2020 (15 min)",https://www.timbers.com/post/2020/05/27/ptfc-driven-nat-borchers-thorns-fcs-rocky-rodriguez?autoplay=true,Borchers with Rodriguez on her journey from Costa Rica to the U.S.
2,"May 27, 2020 (3 min)",https://www.timbers.com/post/2020/05/27/stem-slab-timber-joey-and-building-bridges?autoplay=true,STEM sLAB | Timber Joey and building bridges
3,"May 27, 2020",https://www.timbers.com/post/2020/05/27/ptfc-archives-sinclair-hat-trick-highlights-6-3-thorns-win-over-boston-2014,PTFC: From the Archives going back to 2014 for Sinclair hat trick
4,"May 27, 2020",https://www.timbers.com/post/2020/05/27/nwsl-announces-2020-challenge-cup-presented-pg-and-secret,NWSL announces 2020 Challenge Cup presented by P&G and Secret
5,"May 26, 2020",https://www.timbers.com/post/2020/05/26/top-3-thorns-midfielder-celeste-boureille-shares-her-favorite-hobbies,Boureille shares her favorite hobbies
