,Date_Added,Release_Date,link,team,title
0,"June 07, 2020","June 4, 2020",https://www.lafc.com/post/2020/06/04/major-league-soccer-clubs-return-full-team-training,lafc,MLS Clubs To Return To Full Team Training
1,"June 07, 2020","May 29, 2020",https://www.lafc.com/post/2020/05/29/max-vince-podcast-52-special-guest-bradley-wright-phillips,lafc,Max + Vince Podcast | Bradley Wright-Phillips
2,"June 07, 2020","May 28, 2020",https://www.lafc.com/post/2020/05/28/mls-clubs-begin-voluntary-small-group-training-sessions,lafc,MLS Clubs To Begin Small Group Training Sessions
3,"June 07, 2020","May 28, 2020 (2 min)",https://www.lafc.com/post/2020/05/28/congratulations-graduation-bryce-duke?autoplay=true,lafc,"Congratulations On Graduation, Bryce"
4,"June 07, 2020","May 28, 2020 (1 min)",https://www.lafc.com/post/2020/05/28/bob-bradley-congratulates-2020-graduates?autoplay=true,lafc,Bob Congratulates 2020 Graduates
