,Release Date,link,title
0,"May 21, 2020",https://www.lafc.com/post/2020/05/21/chicas-tacos-right-track-local-community,Chicas Tacos On The Right Track In Local Community
1,"May 21, 2020",https://www.lafc.com/post/2020/04/09/lafc-partners-lend-community-helping-hand-response-covid-19,LAFC Partners Lend Community Helping Hand
2,"May 20, 2020",https://www.lafc.com/post/2020/05/20/black-gold-rewind-lafc-2-1-sporting-kansas-city-3319,Black & Gold Rewind | LAFC 2-1 SKC
3,"May 26, 2020 (59 min)",https://www.lafc.com/post/2020/05/26/watch-shootin-shot-larry-harv-ep-6-mia-hamm?autoplay=true,Shootin' The Shot | Mia Hamm
4,"May 25, 2020 (30 min)",https://www.lafc.com/post/2020/05/25/lafc-30-lafc-orlando-city-9719?autoplay=true,LAFC In 30 | LAFC at Orlando City
5,"May 22, 2020 (3 min)",https://www.lafc.com/post/2020/05/22/all-goals-scored-north-end?autoplay=true,All Goals Scored In The North End
